name,table_size,index_size,total_size,estimated_row_count,seq_scans
public.bookings,88 kB,152 kB,240 kB,171,28449
public.events,192 kB,48 kB,240 kB,32,1691
public.profiles,152 kB,80 kB,232 kB,47,26173
public.email_logs,112 kB,64 kB,176 kB,265,12949
public.event_days,56 kB,80 kB,136 kB,38,3001
public.event_files,80 kB,32 kB,112 kB,33,45
public.recaps,72 kB,32 kB,104 kB,46,63
public.admin_roles,16 kB,80 kB,96 kB,6,89679
public.event_roles,48 kB,32 kB,80 kB,48,168
public.staff_invitations,16 kB,64 kB,80 kB,2,7
public.system_status,48 kB,32 kB,80 kB,3,14998
public.no_show_alerts,16 kB,48 kB,64 kB,4,11
public.activity_logs,16 kB,48 kB,64 kB,8,9
public.app_feedback,16 kB,32 kB,48 kB,28,18
public.booking_breaks,16 kB,32 kB,48 kB,1,2
public.event_notes,16 kB,32 kB,48 kB,1,45
public.clients,16 kB,32 kB,48 kB,1,2
public.document_signatures,8192 bytes,32 kB,40 kB,0,4
public.client_feedback,16 kB,16 kB,32 kB,8,43
public.admin_feedback,8192 bytes,24 kB,32 kB,0,4
public.talent_availability,8192 bytes,24 kB,32 kB,0,3
public.training_materials,8192 bytes,16 kB,24 kB,0,4
public.event_documents,0 bytes,24 kB,24 kB,0,4
public.client_profiles,8192 bytes,16 kB,24 kB,0,2
public.admin_users,8192 bytes,16 kB,24 kB,3,2349
public.client_users,8192 bytes,16 kB,24 kB,0,2
public.expenses,8192 bytes,16 kB,24 kB,0,2
public.training_completions,0 bytes,24 kB,24 kB,0,3
public.email_templates,8192 bytes,8192 bytes,16 kB,0,1
public.operations_alerts,8192 bytes,8192 bytes,16 kB,0,20
public.documents,8192 bytes,8192 bytes,16 kB,0,13
public.staff_status,8192 bytes,8192 bytes,16 kB,0,14
